
 sfworker.cc l261 tx_time 39.324419, tti 6504, rnti 95
 sfworker.cc l261 tx_time 39.326419, tti 6506, rnti 95
 sfworker.cc l261 tx_time 40.304420, tti 7484, rnti 95
 sfworker.cc l261 tx_time 40.314420, tti 7494, rnti 95
 sfworker.cc l261 tx_time 40.316420, tti 7496, rnti 95
 sfworker.cc l261 tx_time 40.318420, tti 7498, rnti 95
 sfworker.cc l261 tx_time 40.322420, tti 7502, rnti 95
 sfworker.cc l261 tx_time 40.324420, tti 7504, rnti 95
 sfworker.cc l261 tx_time 40.326420, tti 7506, rnti 95
 sfworker.cc l261 tx_time 41.304421, tti 8484, rnti 95
 sfworker.cc l261 tx_time 41.314421, tti 8494, rnti 95
 sfworker.cc l261 tx_time 41.316421, tti 8496, rnti 95
 sfworker.cc l261 tx_time 41.318421, tti 8498, rnti 95
 sfworker.cc l261 tx_time 41.322421, tti 8502, rnti 95
 sfworker.cc l261 tx_time 41.324421, tti 8504, rnti 95
 sfworker.cc l261 tx_time 42.304422, tti 9484, rnti 95
 sfworker.cc l261 tx_time 42.314422, tti 9494, rnti 95
 sfworker.cc l261 tx_time 42.316422, tti 9496, rnti 95
 sfworker.cc l261 tx_time 42.318422, tti 9498, rnti 95
 sfworker.cc l261 tx_time 42.322422, tti 9502, rnti 95
 sfworker.cc l261 tx_time 42.324422, tti 9504, rnti 95
 sfworker.cc l261 tx_time 43.304423, tti 244, rnti 95
 sfworker.cc l261 tx_time 43.314423, tti 254, rnti 95
 sfworker.cc l261 tx_time 43.316423, tti 256, rnti 95
 sfworker.cc l261 tx_time 43.318423, tti 258, rnti 95
 sfworker.cc l261 tx_time 43.322423, tti 262, rnti 95
